ace,someone who is really close to you someone you can relate to someone that you can easily talk to someone who listens someone who really care for you someone who share the same interests
ace,an expert or master specialist
ace,excellent very good australian slang
acid,the drug lsd lysergic diethylamide
action,sexual activity
active,originated in pasadena by niggaz who like replacing cool or tight with
active,something pertaining to something else that is cool
afro,big puffy hair
airhead,air head slang silly rather unintelligent person
airhead,someone who isn very smart stupid person if your head is filled with air instead of brains you probably can think very well
airhead,dumb fool
akimbo,limbs bent most often the hands on the hips with elbows bent outward
alley,dark place where most people get raped
alligator,term used by black jazzmen particularly in new orleans referring to white jazz musicians jive people or jitterbugs
allow,stop don do that no
already,in agreement of the conversated context
already,way of agreement and or goodbye
ambo,liverpool slang for ambulance
anal,to fuck someone in their ass form of sex
anal,short for retentive
angelic,women that completely reflects perfection woman with the perfect personality or woman with both
animal,person who is very sexy wild in bed quite hairy and lives in the woods
ankle,extremely bitchy or useless woman so called because an is two feet lower than cunt
ankle,adj the insulting term used to indicate the lowest of female life forms usually human inferring that she is two feet lower than cunt or at level
anteater,someone who has an uncircumcized penis
anteater,an uncircumsized penis the bearer of an uncircumsized penis
anxious,fine state of affairs anything good
apple,used in north america to refer to an american indian native american who is red on the outside white on the inside it is used primarily by other american indians to indicate someone who has lost touch with their cultural identity similar to terms such as banana and oreo
armpit,any undesireable place
asexual,person or thing with no sex to have no sexual genitalia of no sex person or thing with no sexual drive toward either sex or gender person or thing with no interest in sexual partners people are not necessarily uninterested in romantic relationships they are simply uninterested in sex
ash,dead dried up skin typically an insult
ass,noun the other vagina
ass,the sexiest object in the universe
ass,buttocks lower class or stupid person
ass,part of your body that has most of all chances to be kicked
ass,anus donkey person who acts like donkey or an anus
ass,can be used to emphasize an adjective
aught,zero
author,the writer one who writes the source
avatar,an incarnation of diety or supernatural being in the physical world digital representation of person who lives only through the internet
awesome,formidable amazing heart stirring wonderful
axe,guitar usually eletric
axe,ask
axe,how ghetto folks say ask
b,short for bitch
b,it shortened version of babe or bitch depending on who you re talking to and how you mean it
babe,it wht todays boyfriend and girlfriend call each other
babe,term used in an affectionate greeting interchangeable with darling close friend
babe,person who is always forthable the person that always makes your head spin when you see them
babe,term girl friend uses towards her boyfriend and vice versa
baboon,person that sags their pants revealing they re ass
baby,tasty treat blunt object used to hit things
baby,the tail end of any sentence which will convert that sentence into line of song
baby,the worst std known to man
baby,career woman worst nightmare
baby,endearing term that can be used for either sex
baby,term used before word to describe it as small or little
babysitter,someone who dates or hooks up with someone significantly younger than them
back,reference to the buttocks usually referred to woman who have bigger than normal ass
back,an especially fine woman butt
backside,the back end of your body booty ass rump butt etc etc etc
bacon,the police other slang pigs fuzz
bacon,cops pigs po po police
bad,someone who is sexy beyond mean
bad,good amazing strange and can be very confusing
bad,describes girl that is sexy and you wanna fuck her
bad,when you see very good looking female
badger,one is equal to it is the street price of one tab of scrote
bagel,verb when secular jew lets religious jew know he she is jewish through indirect means
bagel,derogatory name for fat jewish kid
bail,to leave to bounce to break to be ups
bairn,common scottish slang for child or baby
bait,noun male or female that is appealing to the opposite sex
bait,when something is made blatantly obvious
bake,to smoke weed in closed area
bake,to smoke weed past tense baked
baked,extremely high on weed high stoned
bale,compressed brick of marijuana usually ranging in weight from to pounds
ball,to have alot of money and nice things
ball,to play basketball used only if you have some skill are some level of urban
ball,th ounce of cocaine or occasionally another powdered drug from eight
balloon,heroin dealer
balloon,slang for condom slang for protection during sex
balloon,heroin supplier penny that contains narcotics
banana,something to use when your boyfriend isnt around
banana,high potassium snack food
banana,not merely fruit but also herb and berry
banana,word for fruit often taken for innuendo
banana,an asian person who acts like they are white yellow on the outside white on the inside
bang,to have sex to fuck
bang,to participate in gang affiliated activities
bang,to have sex with some one quickly
bang,to fuck loud noise word used to imply affiliation with street gang word used to describe the act of murder
bang,to have hot wild sex
bang,to inject drug intravenously
bang,to shoot up drugs
bang,slang term used when referring to sexual intercourse between male and female slang term used when referring to what you got slang term used when referring to killing someone because they messed around
bank,another cash money word
